Venue Category,Postal Code,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
Insurance Office,12,12,12,12,12,12,12
Coffee Shop,6,6,6,6,6,6,6
Hotel,4,4,4,4,4,4,4
Park,4,4,4,4,4,4,4
Pharmacy,4,4,4,4,4,4,4
Construction & Landscaping,3,3,3,3,3,3,3
Home Service,2,2,2,2,2,2,2
Lawyer,2,2,2,2,2,2,2
Gas Station,2,2,2,2,2,2,2
Pet Store,2,2,2,2,2,2,2
Pub,2,2,2,2,2,2,2
Rental Car Location,2,2,2,2,2,2,2
Pizza Place,2,2,2,2,2,2,2
Restaurant,2,2,2,2,2,2,2
Auto Garage,2,2,2,2,2,2,2
Breakfast Spot,2,2,2,2,2,2,2
Mobile Phone Shop,1,1,1,1,1,1,1
Thai Restaurant,1,1,1,1,1,1,1
Irish Pub,1,1,1,1,1,1,1
Liquor Store,1,1,1,1,1,1,1
Massage Studio,1,1,1,1,1,1,1
Mediterranean Restaurant,1,1,1,1,1,1,1
Supermarket,1,1,1,1,1,1,1
Mexican Restaurant,1,1,1,1,1,1,1
Modern European Restaurant,1,1,1,1,1,1,1
Salon / Barbershop,1,1,1,1,1,1,1
Multiplex,1,1,1,1,1,1,1
Storage Facility,1,1,1,1,1,1,1
Pawn Shop,1,1,1,1,1,1,1
Sports Bar,1,1,1,1,1,1,1
Sporting Goods Shop,1,1,1,1,1,1,1
Soup Place,1,1,1,1,1,1,1
Sandwich Place,1,1,1,1,1,1,1
Intersection,1,1,1,1,1,1,1
African Restaurant,1,1,1,1,1,1,1
Ice Cream Shop,1,1,1,1,1,1,1
IT Services,1,1,1,1,1,1,1
Athletics & Sports,1,1,1,1,1,1,1
Bar,1,1,1,1,1,1,1
Beer Store,1,1,1,1,1,1,1
Burger Joint,1,1,1,1,1,1,1
Business Service,1,1,1,1,1,1,1
Café,1,1,1,1,1,1,1
Carpet Store,1,1,1,1,1,1,1
Chinese Restaurant,1,1,1,1,1,1,1
Clothing Store,1,1,1,1,1,1,1
Convenience Store,1,1,1,1,1,1,1
Dance Studio,1,1,1,1,1,1,1
Diner,1,1,1,1,1,1,1
Discount Store,1,1,1,1,1,1,1
Doctor's Office,1,1,1,1,1,1,1
Eastern European Restaurant,1,1,1,1,1,1,1
Electronics Store,1,1,1,1,1,1,1
Event Space,1,1,1,1,1,1,1
Fast Food Restaurant,1,1,1,1,1,1,1
Flower Shop,1,1,1,1,1,1,1
Furniture / Home Store,1,1,1,1,1,1,1
Grocery Store,1,1,1,1,1,1,1
Gym,1,1,1,1,1,1,1
Gym / Fitness Center,1,1,1,1,1,1,1
History Museum,1,1,1,1,1,1,1
Asian Restaurant,1,1,1,1,1,1,1
Vegetarian / Vegan Restaurant,1,1,1,1,1,1,1
